"from_iso3","to_iso3","tc_spem"
"GRC","NPL",350.821922147407
"GRC","RUS",50.5215376106438
"GRC","RWA",174.580167741902
"GRC","R_ASP",350.821851798083
"GRC","R_CSA",322.633896695889
"GRC","R_NEU",28.5222421755111
"GRC","R_NMC",58.6341827936168
"GRC","R_OEU",31.0653846893346
"GRC","R_SSA",191.93339072544
"GRC","SWE",53.4843269061881
"GRC","TUR",147.814116421903
"GRC","USA",309.007270015291
"IDN","ARG",569.51692528937
"IDN","AUS",133.146030943893
"IDN","BRA",569.516920294493
"IDN","CAN",570.577696155762
"IDN","CHN",133.146012615478
"IDN","COL",569.516911056438
"IDN","DEU",319.66417396506
"IDN","DNK",319.664184608668
"IDN","ETH",314.008696153101
"IDN","FIN",319.664180250189
"IDN","GBR",319.664172025328
"IDN","GRC",319.664184047118
"IDN","IDN",133.090500768258
"IDN","IND",133.146014992625
"IDN","MEX",569.516924926972
"IDN","NOR",319.664184764585
"IDN","NPL",133.146035762384
"IDN","RUS",271.344406067577
"IDN","RWA",283.537824017403
"IDN","R_ASP",124.40258680359
"IDN","R_CSA",569.516924903306
"IDN","R_NEU",271.344413218441
"IDN","R_NMC",234.863057416297
"IDN","R_OEU",362.380096613787
"IDN","R_SSA",348.318301271367
"IDN","SWE",319.664183397662
"IDN","TUR",271.344401216528
"IDN","USA",584.132809770174
"IND","ARG",592.45248901411
"IND","AUS",296.372096179429
"IND","BRA",513.875870759561
"IND","CAN",402.255951167105
"IND","CHN",109.749694471059
"IND","COL",569.516897251937
"IND","DEU",187.703742017003
"IND","DNK",190.765546864302
"IND","ETH",110.162858353897
"IND","FIN",170.808884356184
"IND","GBR",210.493207086121
"IND","GRC",150.53072750855
"IND","IDN",119.629418394447
"IND","IND",156.644832704592
"IND","MEX",546.9178846618
"IND","NOR",196.081875256223
"IND","NPL",14.0296106366799
"IND","RUS",116.563468191996
"IND","RWA",166.759253785379
"IND","R_ASP",167.394776947281
"IND","R_CSA",535.180155099603
"IND","R_NEU",172.111278626683
"IND","R_NMC",112.96798264881
"IND","R_OEU",170.758566937744
"IND","R_SSA",231.875167452408
"IND","SWE",180.464282488201
"IND","TUR",121.407462030336
"IND","USA",435.627416694382
"MEX","ARG",102.695611596837
"MEX","AUS",551.578124921632
"MEX","BRA",102.695606566665
"MEX","CAN",89.0475390969822
"MEX","CHN",551.578091997705
"MEX","COL",102.695601633026
"MEX","DEU",315.905118170513
"MEX","DNK",315.905129379009
"MEX","ETH",306.601361313831
"MEX","FIN",315.905124998999
"MEX","GBR",315.905116369318
"MEX","GRC",315.90512876659
"MEX","IDN",551.578133117623
"MEX","IND",551.578103553757
"MEX","MEX",134.521368872772
"MEX","NOR",315.905126214727
"MEX","NPL",551.578132817176
"MEX","RUS",362.317308732219
"MEX","RWA",306.602154954433
"MEX","R_ASP",551.578074712923
"MEX","R_CSA",101.622669034152
"MEX","R_NEU",362.317315277314
"MEX","R_NMC",468.204953481224
"MEX","R_OEU",319.734306378291
"MEX","R_SSA",306.60136323863
"MEX","SWE",315.905127946991
"MEX","TUR",362.317300534154
"MEX","USA",56.1458336753813
"NOR","ARG",322.633897183742
"NOR","AUS",350.821918494009
"NOR","BRA",322.633892188865
"NOR","CAN",219.581836241424
"NOR","CHN",350.821884650485
"NOR","COL",322.633883324641
"NOR","DEU",63.796874508778
"NOR","DNK",63.796885174117
"NOR","ETH",174.579371893719
"NOR","FIN",185.916331239126
"NOR","GBR",63.7968725735958
"NOR","GRC",63.796884610649
"NOR","IDN",350.821922128475
"NOR","IND",350.821898362004
"NOR","MEX",322.633897630199
"NOR","NOR",43.0048196719128
"NOR","NPL",350.821921889807
"NOR","RUS",50.5215373651801
"NOR","RWA",174.580168888052
"NOR","R_ASP",361.253370703301
"NOR","R_CSA",322.63389646267
"NOR","R_NEU",51.0560629895595
"NOR","R_NMC",113.904812191854
"NOR","R_OEU",35.8972305292161
"NOR","R_SSA",174.683604683997
"NOR","SWE",91.1656455194044
"NOR","TUR",50.5215326466788
"NOR","USA",219.581828911739
"NPL","ARG",569.516908459351
"NPL","AUS",133.146011259229
"NPL","BRA",569.516903464473
"NPL","CAN",455.716869228633
"NPL","CHN",133.146004790065
"NPL","COL",569.516887067351
"NPL","DEU",319.664154847802
"NPL","DNK",319.664165412582
"NPL","ETH",314.008680000638
"NPL","FIN",319.664161059258
"NPL","GBR",319.664152892096
"NPL","GRC",319.664164857957
"NPL","IDN",133.146019560679
"NPL","IND",133.146029216487
"NPL","MEX",569.516906901183
"NPL","NOR",319.664163416342
"NPL","NPL",54.5845788878413
"NPL","RUS",271.344381837905
"NPL","RWA",314.009471081949
"NPL","R_ASP",133.14593826893
"NPL","R_CSA",569.516906232908
"NPL","R_NEU",271.344397116253
"NPL","R_NMC",234.863041358413
"NPL","R_OEU",319.664167538163
"NPL","R_SSA",314.008681377093
"NPL","SWE",319.664164230546
"NPL","TUR",271.344379056213
"NPL","USA",455.716858547982
"RUS","ARG",369.03715170364
"RUS","AUS",283.519132870796
"RUS","BRA",369.037146708763
"RUS","CAN",249.077555733705
"RUS","CHN",157.96505760838
"RUS","COL",369.037134332937
"RUS","DEU",63.463485826392
"RUS","DNK",53.0862929954647
"RUS","ETH",153.128601829928
"RUS","FIN",33.9452805159591
"RUS","GBR",53.0862799858115
"RUS","GRC",53.0862923830484
"RUS","IDN",281.160613018059
"RUS","IND",132.680595374333
"RUS","MEX",369.037150602044
"RUS","NOR",53.0862898518397
"RUS","NPL",283.51913968315
"RUS","RUS",36.4313307529219
"RUS","RWA",153.129395934647
"RUS","R_ASP",272.599245947629
"RUS","R_CSA",369.037150132464
"RUS","R_NEU",59.2102708522419
"RUS","R_NMC",74.9828919521744
"RUS","R_OEU",60.4243423587075
"RUS","R_SSA",175.877785096586
"RUS","SWE",53.0862915634578
"RUS","TUR",53.0895213797926
"RUS","USA",291.331757096782
"RWA","ARG",341.938090818699
"RWA","AUS",340.564122780976
"RWA","BRA",341.938085823822
"RWA","CAN",401.899787330112
"RWA","CHN",340.564117566796
"RWA","COL",341.938083935116
"RWA","DEU",184.055363872388
"RWA","DNK",184.055374220779
"RWA","ETH",59.4226720779718
"RWA","FIN",184.055369884474
"RWA","GBR",184.055361876947
"RWA","GRC",184.055373684917
"RWA","IDN",340.564124224977
"RWA","IND",340.564139238156
"RWA","MEX",341.938091274836
"RWA","NOR",184.055372018174
