"from_iso3","to_iso3","calib"
"NPL","GRC",6.38239100680948e-07
"NPL","IDN",1.94364261574265e-06
"NPL","IND",0.000697057548624258
"NPL","MEX",2.73057708000124e-07
"NPL","NOR",6.38239100680948e-07
"NPL","NPL",8.71485113881829
"NPL","RUS",8.42157646729902e-07
"NPL","RWA",6.3762877289264e-07
"NPL","R_ASP",50.5830817854295
"NPL","R_CSA",2.70499867838225e-07
"NPL","R_NEU",8.25997801712219e-07
"NPL","R_NMC",9.96073225678629e-07
"NPL","R_OEU",6.81856818118831e-07
"NPL","R_SSA",6.72883459174045e-07
"NPL","SWE",6.38239100680948e-07
"NPL","TUR",7.8399813219221e-07
"NPL","USA",5.80983510189981e-07
"RUS","ARG",5.44961494597374e-07
"RUS","AUS",7.5300243906895e-07
"RUS","BRA",5.44961494597374e-07
"RUS","CAN",7.97273912667151e-07
"RUS","CHN",0.0863996166427796
"RUS","COL",5.27741576661356e-07
"RUS","DEU",0
"RUS","DNK",5.1596755596961e-06
"RUS","ETH",1.63216191140236e-06
"RUS","FIN",0
"RUS","GBR",0
"RUS","GRC",0
"RUS","IDN",7.88130364526296e-07
"RUS","IND",7.16190129423921e-07
"RUS","MEX",5.49757487533498e-07
"RUS","NOR",7.34153299219997e-06
"RUS","NPL",7.76939486968331e-07
"RUS","RUS",1.86856055606199e-05
"RUS","RWA",1.60818191830003e-06
"RUS","R_ASP",0.941068711255355
"RUS","R_CSA",5.46560158909415e-07
"RUS","R_NEU",5.3978472038807e-06
"RUS","R_NMC",3.4473627492029
"RUS","R_OEU",0
"RUS","R_SSA",1.64343683195511e-06
"RUS","SWE",0
"RUS","TUR",0.877358853286381
"RUS","USA",9.84894938937941e-07
"RWA","ARG",6.07256311013771e-07
"RWA","AUS",5.96974530253647e-07
"RWA","BRA",6.07256311013771e-07
"RWA","CAN",4.66984090508049e-07
"RWA","CHN",5.96974530253647e-07
"RWA","COL",5.90036393077753e-07
"RWA","DEU",1.32125427398933e-06
"RWA","DNK",1.32125427398933e-06
"RWA","ETH",4.62326617878261e-06
"RWA","FIN",1.32125427398933e-06
"RWA","GBR",1.32125427398933e-06
"RWA","GRC",1.32125427398933e-06
"RWA","IDN",6.16753709437035e-07
"RWA","IND",6.02365730628662e-07
"RWA","MEX",6.12052303949895e-07
"RWA","NOR",1.23138471508355e-06
"RWA","NPL",6.05563059252745e-07
"RWA","RUS",1.55848530880576e-06
"RWA","RWA",0.00241440022992556
"RWA","R_ASP",5.84473355047521e-07
"RWA","R_CSA",6.09494463787996e-07
"RWA","R_NEU",1.54232549220978e-06
"RWA","R_NMC",1.86750122566082e-06
"RWA","R_OEU",1.35044786020444e-06
"RWA","R_SSA",3.94902976097455e-06
"RWA","SWE",1.32125427398933e-06
"RWA","TUR",1.50032582268977e-06
"RWA","USA",4.66984090508049e-07
"R_ASP","ARG",2.68261715064e-07
"R_ASP","AUS",1.58914784265107e-06
"R_ASP","BRA",2.68261715064e-07
"R_ASP","CAN",6.30662725598086e-07
"R_ASP","CHN",0
"R_ASP","COL",2.51394794759108e-07
"R_ASP","DEU",7.42629765682068e-07
"R_ASP","DNK",6.55031271890039e-07
"R_ASP","ETH",6.61608794416679e-07
"R_ASP","FIN",6.55031271890039e-07
"R_ASP","GBR",7.03415651059913e-07
"R_ASP","GRC",6.55031271890039e-07
"R_ASP","IDN",5.41436380530058e-05
"R_ASP","IND",0
"R_ASP","MEX",6.13636757407221e-07
"R_ASP","NOR",7.01509009104484e-07
"R_ASP","NPL",1.53871940256067e-06
"R_ASP","RUS",8.35190121506457e-07
"R_ASP","RWA",6.3762877289264e-07
"R_ASP","R_ASP",37.5865746008037
"R_ASP","R_CSA",5.21857600688236e-07
"R_ASP","R_NEU",7.38990763693437e-07
"R_ASP","R_NMC",0
"R_ASP","R_OEU",7.55261680751573e-07
"R_ASP","R_SSA",6.62978209220455e-07
"R_ASP","SWE",6.55031271890039e-07
"R_ASP","TUR",7.98461371687154e-07
"R_ASP","USA",6.71601185331383e-07
"R_CSA","ARG",2.41985451054916e-06
"R_CSA","AUS",2.51753363045282e-07
"R_CSA","BRA",2.55630730805478e-06
"R_CSA","CAN",1.81993661385604e-06
"R_CSA","CHN",4.05824380322883e-07
"R_CSA","COL",0
"R_CSA","DEU",9.22262870517443e-07
"R_CSA","DNK",6.59959198401339e-07
"R_CSA","ETH",6.83927055433742e-07
"R_CSA","FIN",6.59959198401339e-07
"R_CSA","GBR",9.73897442690941e-07
"R_CSA","GRC",6.59959198401339e-07
"R_CSA","IDN",2.90901766675233e-07
"R_CSA","IND",2.21577693082509e-07
"R_CSA","MEX",2.77369886703127e-06
"R_CSA","NOR",5.82050404318579e-07
"R_CSA","NPL",2.79711116490944e-07
"R_CSA","RUS",7.1240395982386e-07
"R_CSA","RWA",6.59947033909702e-07
"R_CSA","R_ASP",0
"R_CSA","R_CSA",0
"R_CSA","R_NEU",8.41214330193907e-07
"R_CSA","R_NMC",0
"R_CSA","R_OEU",9.13398878310545e-07
"R_CSA","R_SSA",8.95370135367557e-07
"R_CSA","SWE",6.59959198401339e-07
"R_CSA","TUR",6.72937233048287e-07
"R_CSA","USA",2.30191749039932e-06
"R_NEU","ARG",5.44961494597374e-07
"R_NEU","AUS",4.45893192591029e-07
"R_NEU","BRA",5.44961494597374e-07
"R_NEU","CAN",7.97273912667151e-07
"R_NEU","CHN",7.11713880718889e-07
"R_NEU","COL",5.27741576661356e-07
"R_NEU","DEU",1.11239786200201e-05
"R_NEU","DNK",0
"R_NEU","ETH",1.63216191140236e-06
"R_NEU","FIN",5.22122775237222e-06
"R_NEU","GBR",0
"R_NEU","GRC",0.0242920411498631
"R_NEU","IDN",7.88130137152621e-07
"R_NEU","IND",0
"R_NEU","MEX",5.49757487533498e-07
"R_NEU","NOR",0
"R_NEU","NPL",7.76939486968331e-07
"R_NEU","RUS",4.81521216499914e-06
"R_NEU","RWA",1.60818191830003e-06
"R_NEU","R_ASP",0.0160536781020824
"R_NEU","R_CSA",5.46440958260064e-07
"R_NEU","R_NEU",0.106084262246686
"R_NEU","R_NMC",19.6059575043915
"R_NEU","R_OEU",6.28819366947789
"R_NEU","R_SSA",0
"R_NEU","SWE",8.17475105208132e-06
"R_NEU","TUR",0
"R_NEU","USA",1.10591440716235e-06
"R_NMC","ARG",4.38147367276542e-07
"R_NMC","AUS",5.90204308537068e-07
"R_NMC","BRA",4.38147367276542e-07
"R_NMC","CAN",8.63363538883277e-07
"R_NMC","CHN",9.2506880378096e-07
"R_NMC","COL",4.20310811932723e-07
"R_NMC","DEU",2.92913907173897e-06
"R_NMC","DNK",2.6745436798592e-06
"R_NMC","ETH",3.47555914004261e-06
"R_NMC","FIN",2.6745436798592e-06
"R_NMC","GBR",2.47288856769501e-06
"R_NMC","GRC",4.73114220511661e-06
"R_NMC","IDN",9.96928861241031e-07
"R_NMC","IND",2.60644621619122e-06
"R_NMC","MEX",4.42326722804864e-07
"R_NMC","NOR",2.44370305324537e-06
"R_NMC","NPL",0
"R_NMC","RUS",3.67927229660836e-06
"R_NMC","RWA",2.19086621200404e-06
"R_NMC","R_ASP",0
"R_NMC","R_CSA",6.37621212717931e-07
"R_NMC","R_NEU",3.96739692121173e-06
"R_NMC","R_NMC",26.3920114847285
"R_NMC","R_OEU",3.40006833710049e-06
"R_NMC","R_SSA",0
"R_NMC","SWE",2.82651735972195e-06
"R_NMC","TUR",5.99976917214917e-06
"R_NMC","USA",7.83828284056654e-07
"R_OEU","ARG",5.80469020405872e-07
"R_OEU","AUS",4.62764546682592e-07
"R_OEU","BRA",9.24302241855912e-07
"R_OEU","CAN",1.27823696516316e-06
"R_OEU","CHN",0
"R_OEU","COL",2.86106569546973e-08
"R_OEU","DEU",7.81348015874998
"R_OEU","DNK",0.400194312452641
"R_OEU","ETH",2.09514311677594e-06
"R_OEU","FIN",0.00106037719788077
"R_OEU","GBR",3.44341207120441
"R_OEU","GRC",1.62389902315996
"R_OEU","IDN",0
"R_OEU","IND",0
"R_OEU","MEX",8.51338199936436e-09
"R_OEU","NOR",0.00566853595778127
"R_OEU","NPL",0
"R_OEU","RUS",4.80249691037216e-06
"R_OEU","RWA",0
"R_OEU","R_ASP",1.61928877886305
"R_OEU","R_CSA",0
"R_OEU","R_NEU",0
"R_OEU","R_NMC",90.5690936531791
"R_OEU","R_OEU",31.0812810226201
"R_OEU","R_SSA",0
"R_OEU","SWE",0.025762826100717
"R_OEU","TUR",0
"R_OEU","USA",0
"R_SSA","ARG",6.07256311013771e-07
"R_SSA","AUS",5.81184963266423e-07
"R_SSA","BRA",1.34362329617943e-06
"R_SSA","CAN",7.47140688872605e-07
"R_SSA","CHN",0
"R_SSA","COL",0
"R_SSA","DEU",1.50532437714901e-06
"R_SSA","DNK",1.43733129220891e-06
"R_SSA","ETH",0
"R_SSA","FIN",1.26161006619441e-06
"R_SSA","GBR",1.5472049312848e-06
"R_SSA","GRC",1.34286713660003e-06
"R_SSA","IDN",7.00716725532402e-07
"R_SSA","IND",0
"R_SSA","MEX",6.12052303949895e-07
"R_SSA","NOR",1.21642739259187e-06
"R_SSA","NPL",8.52677317197958e-07
"R_SSA","RUS",1.26771905684109e-06
"R_SSA","RWA",0
"R_SSA","R_ASP",0
"R_SSA","R_CSA",8.71021200055111e-07
"R_SSA","R_NEU",1.61251094255022e-06
"R_SSA","R_NMC",0
"R_SSA","R_OEU",1.70660169374059e-06
"R_SSA","R_SSA",1.25388848826739
"R_SSA","SWE",1.34286713660003e-06
"R_SSA","TUR",1.86136023216932e-06
"R_SSA","USA",7.36702986614546e-07
"SWE","ARG",6.58014812415786e-07
"SWE","AUS",5.66517428524094e-07
"SWE","BRA",6.58014812415786e-07
"SWE","CAN",1.06071249206252e-06
"SWE","CHN",5.13514237354684e-07
"SWE","COL",6.40794894479768e-07
"SWE","DEU",1.40016157956779e-06
"SWE","DNK",3.63691815152833e-06
"SWE","ETH",1.39940178200959e-06
"SWE","FIN",2.5126498002237e-06
"SWE","GBR",4.28656829143392e-06
"SWE","GRC",4.28656829853935e-06
"SWE","IDN",5.91848902331549e-07
"SWE","IND",5.1990889460285e-07
"SWE","MEX",6.6281080535191e-07
"SWE","NOR",3.11254144946815e-06
"SWE","NPL",5.8065819530384e-07
