"FABLE_Exporter","FABLE_Importer","Year","FABLE_Item","adv_ij_agg","sdt_ij_agg","Regional_lv"
"IRL","R_SSA",2000,"Coffee",0.214703162464835,248.499419002333,"R_OEU"
"MEX","R_SSA",2000,"Coffee",0.214730345026923,64.0950718947449,"R_CSA"
"NOR","R_SSA",2000,"Coffee",0.214713641094506,248.522436320528,"R_OEU"
"NPL","R_SSA",2000,"Coffee",0.216135913985165,251.64659555841,"R_ASP"
"RUS","R_SSA",2000,"Coffee",0.21610397140055,251.576430598181,"R_NEU"
"RWA","R_SSA",2000,"Coffee",0.158377672226923,71.0047109350483,"R_SSA"
"SWE","R_SSA",2000,"Coffee",0.214703162464835,248.499419002333,"R_OEU"
"TUR","R_SSA",2000,"Coffee",0.214761963332418,248.628580765071,"R_NEU"
"USA","R_SSA",2000,"Coffee",0.214713641094506,1227.50208338362,"R_WRL"
"R_NMC","R_ASP",2000,"Coffee",0.216251223188719,257.753160144126,"R_NMC"
"R_SSA","R_ASP",2000,"Coffee",0.21202456366564,151.913253856918,"R_SSA"
"R_NEU","R_ASP",2000,"Coffee",0.217942076330159,215.292829075571,"R_NEU"
"ARG","R_ASP",2000,"Coffee",0.220048404589683,258.185522649647,"R_CSA"
"AUS","R_ASP",2000,"Coffee",0.213128959692857,265.114894118829,"R_ASP"
"R_OEU","R_ASP",2000,"Coffee",0.215150767413033,221.746816543267,"R_OEU"
"R_CSA","R_ASP",2000,"Coffee",0.215606521026804,291.487452319779,"R_CSA"
"BRA","R_ASP",2000,"Coffee",0.214030158750794,143.402397157642,"R_CSA"
"CAN","R_ASP",2000,"Coffee",0.213128959692857,265.114894118829,"R_WRL"
"CHN","R_ASP",2000,"Coffee",0.21390317462381,250.489494624223,"R_ASP"
"COL","R_ASP",2000,"Coffee",0.214030158750794,285.660457172309,"R_CSA"
"DEU","R_ASP",2000,"Coffee",0.215113086676984,265.114894118829,"R_OEU"
"DNK","R_ASP",2000,"Coffee",0.215113086676984,265.114894118829,"R_OEU"
"ETH","R_ASP",2000,"Coffee",0.209476587993651,194.137905285148,"R_SSA"
"FIN","R_ASP",2000,"Coffee",0.215113086676984,265.114894118829,"R_OEU"
"GBR","R_ASP",2000,"Coffee",0.215113086676984,265.114894118829,"R_OEU"
