FABLE_Exporter,FABLE_Importer,dist_adj,Year,FABLE_Item,Q_ij,net_trade_ij,is_court,base_cost,beta,ln_dist,ln_quantity_kt,cost_per_tonne_km,transport_cost_usd_t,Regional_lv_i,Regional_lv_j
RUS,ARG,14195.33,2020,Coffee,0,0,FALSE,0.003,0.26,9.560668316259251,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,ARG,14195.33,2020,Palm_oil,0,0,FALSE,0.003,0.26,9.560668316259251,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,ARG,14195.33,2020,Rice,0,0,FALSE,0.003,0.26,9.560668316259251,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,ARG,14195.33,2020,Palm Oil,0,0,FALSE,0.003,0.26,9.560668316259251,-Inf,Inf,369.0371481626478,R_NEU,R_CSA
RUS,AUS,13424.9,2020,Cocoa,0.0254861,0.0254861,FALSE,0.003,0.26,9.504866470559751,-3.669622073476919,0.03683961614251042,494.5681627515881,R_NEU,R_ASP
RUS,AUS,13424.9,2020,Rice,0,-0.0644776,FALSE,0.003,0.26,9.504866470559751,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,AUS,13424.9,2020,Wheat,0.6584808,0.6584808,FALSE,0.003,0.26,9.504866470559751,-0.4178199153992787,0.03566093279694594,478.74445670571953,R_NEU,R_ASP
RUS,AUS,13424.9,2020,Corn,0,0,FALSE,0.003,0.26,9.504866470559751,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,AUS,13424.9,2020,Coffee,0,0,FALSE,0.003,0.26,9.504866470559751,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,AUS,13424.9,2020,Palm_oil,0,0,FALSE,0.003,0.26,9.504866470559751,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,AUS,13424.9,2020,Soyabean,0,0,FALSE,0.003,0.26,9.504866470559751,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,AUS,13424.9,2020,Palm Oil,0,0,FALSE,0.003,0.26,9.504866470559751,-Inf,Inf,283.5191392665807,R_NEU,R_ASP
RUS,R_OEU,2673.2704285714285,2020,Cocoa,16.7529353,-99.4219243,FALSE,0.003,0.26,7.89105788145604,2.8185734847090713,0.02269402338914724,60.667261631515665,R_NEU,R_OEU
RUS,R_OEU,2673.2704285714285,2020,Coffee,7.5673869,-14.1204555,FALSE,0.003,0.26,7.89105788145604,2.023847816311467,0.022875097185146746,61.15132085575032,R_NEU,R_OEU
RUS,R_OEU,2673.2704285714285,2020,Corn,143.1536859,96.9456041,FALSE,0.003,0.26,7.89105788145604,4.963918779728179,0.022212343548331643,59.37960115702434,R_NEU,R_OEU
RUS,R_OEU,2673.2704285714285,2020,Palm_oil,0,-227.540548,FALSE,0.003,0.26,7.89105788145604,-Inf,Inf,53.08623892333925,R_NEU,R_OEU
