"FABLE_Exporter","FABLE_Item","Year","prodprice_i_agg"
"R_OEU","Wheat",2000,101.8
"R_OEU","Corn",2000,100.45
"R_OEU","Wheat",2000,101.8
"R_SSA","Corn",2000,125.7
"R_SSA","Soyabean",2000,260.4
"R_SSA","Wheat",2000,174.1
"R_OEU","Corn",2000,100.45
"R_OEU","Rice",2000,243.7
"R_OEU","Soyabean",2000,190.95
"R_OEU","Wheat",2000,101.8
"R_ASP","Coffee",2000,802.6
"R_ASP","Corn",2000,178
"R_ASP","Rice",2000,162.1
"R_ASP","Soyabean",2000,311.5
"R_CSA","Corn",2000,211.05
"R_CSA","Rice",2000,211.7
"R_CSA","Soyabean",2000,190
"SWE","Wheat",2000,106.2
"R_NEU","Corn",2000,127.7
"R_NEU","Wheat",2000,129.1
"R_NMC","Corn",2000,164.4
"R_NMC","Rice",2000,259.4
"R_NMC","Wheat",2000,181.3
"R_ASP","Coffee",2000,802.6
"R_ASP","Corn",2000,178
"R_ASP","Rice",2000,162.1
"R_ASP","Soyabean",2000,311.5
"R_SSA","Cocoa",2000,490.15
"R_SSA","Coffee",2000,573.65
"R_SSA","Corn",2000,125.7
"R_SSA","Rice",2000,165.7
"R_CSA","Corn",2000,211.05
"R_CSA","Rice",2000,211.7
"R_NMC","Wheat",2000,181.3
"TUR","Corn",2000,164.7
"TUR","Rice",2000,398.7
"TUR","Soyabean",2000,234.6
"TUR","Wheat",2000,159.5
"R_NMC","Rice",2000,259.4
"R_OEU","Corn",2000,100.45
"R_OEU","Rice",2000,243.7
"R_OEU","Wheat",2000,101.8
"GBR","Wheat",2000,113.5
"R_SSA","Corn",2000,125.7
"USA","Coffee",2000,5842
"USA","Corn",2000,73
"USA","Rice",2000,124
"USA","Soyabean",2000,167
"USA","Wheat",2000,96
"R_CSA","Corn",2000,211.05
"R_CSA","Rice",2000,211.7
"R_CSA","Soyabean",2000,190
"R_CSA","Wheat",2000,185.45
"R_ASP","Cocoa",2000,614.9
"R_ASP","Coffee",2000,802.6
"R_ASP","Corn",2000,178
"R_CSA","Cocoa",2000,640
"R_CSA","Coffee",2000,1410.4
"R_CSA","Corn",2000,211.05
"R_CSA","Rice",2000,211.7
"R_ASP","Coffee",2000,802.6
"R_ASP","Corn",2000,178
"R_ASP","Rice",2000,162.1
"R_NMC","Coffee",2000,1645.1
"R_NMC","Corn",2000,164.4
"R_NMC","Wheat",2000,181.3
"R_NEU","Corn",2005,146.4
"R_NEU","Soyabean",2005,267.1
"R_NEU","Wheat",2005,157.1
"R_NMC","Wheat",2005,208.2
"ARG","Corn",2005,70.3
"ARG","Soyabean",2005,170.5
"ARG","Wheat",2005,100.9
"R_NMC","Wheat",2005,208.2
"AUS","Corn",2005,147.4
"AUS","Rice",2005,226.8
"AUS","Soyabean",2005,289.4
"AUS","Wheat",2005,150.4
"R_OEU","Corn",2005,115.1
"R_OEU","Soyabean",2005,261.3
"R_OEU","Wheat",2005,117.9
"R_NMC","Corn",2005,179.3
"R_NMC","Rice",2005,392.2
"R_NMC","Soyabean",2005,320.1
"R_NMC","Wheat",2005,208.2
"R_ASP","Wheat",2005,183.7
"R_NEU","Corn",2005,146.4
"R_NEU","Wheat",2005,157.1
"R_OEU","Wheat",2005,117.9
"R_ASP","Corn",2005,204.8
"R_ASP","Rice",2005,189.3
"R_ASP","Wheat",2005,183.7
"R_CSA","Cocoa",2005,1137.8
"R_CSA","Coffee",2005,1583.7
"R_CSA","Corn",2005,232.1
"R_CSA","Rice",2005,230
"R_CSA","Soyabean",2005,199.2
"R_CSA","Wheat",2005,174.15
"R_NEU","Corn",2005,146.4
"R_NEU","Soyabean",2005,267.1
"R_NEU","Wheat",2005,157.1
"BRA","Coffee",2005,760.3
"BRA","Corn",2005,118.4
"BRA","Rice",2005,202.6
"BRA","Soyabean",2005,198.9
"BRA","Wheat",2005,142
"R_ASP","Corn",2005,204.8
"R_ASP","Rice",2005,189.3
