"FABLE_Exporter","FABLE_Item","Year","prodprice_i_agg","raw_roll","prodprice_i_agg_lisse","Regional_lv","regional_mean","world_mean","prodprice_i_agg_imp","is_imputed_roll","local_median_roll","rel_deviation_roll","Is_Second_Outlier","prodprice_i_agg_imp_final"
"ARG","Palm Oil",2010,0,0,0,"R_CSA",605.183333333333,700.997222222222,605.183333333333,FALSE,NA,NA,FALSE,605.183333333333
"AUS","Palm Oil",2010,0,0,0,"R_ASP",794.05,700.997222222222,794.05,FALSE,NA,NA,FALSE,794.05
"R_OEU","Palm Oil",2010,0,0,0,"R_OEU",286.233333333333,700.997222222222,286.233333333333,FALSE,NA,NA,FALSE,286.233333333333
"R_CSA","Palm Oil",2010,0,263.266666666667,263.266666666667,"R_CSA",605.183333333333,700.997222222222,263.266666666667,TRUE,678.933333333333,0.612234878240377,FALSE,263.266666666667
"BRA","Palm Oil",2010,0,0,0,"R_CSA",605.183333333333,700.997222222222,605.183333333333,FALSE,NA,NA,FALSE,605.183333333333
"CAN","Palm Oil",2010,0,0,0,"R_WRL",NA,700.997222222222,700.997222222222,FALSE,NA,NA,FALSE,700.997222222222
"DNK","Palm Oil",2010,0,0,0,"R_OEU",286.233333333333,700.997222222222,286.233333333333,FALSE,NA,NA,FALSE,286.233333333333
"FIN","Palm Oil",2010,0,0,0,"R_OEU",286.233333333333,700.997222222222,286.233333333333,FALSE,NA,NA,FALSE,286.233333333333
"DEU","Palm Oil",2010,0,286.233333333333,286.233333333333,"R_OEU",286.233333333333,700.997222222222,286.233333333333,TRUE,625.616666666667,0.542478088286224,FALSE,286.233333333333
"GRC","Palm Oil",2010,0,0,0,"R_OEU",286.233333333333,700.997222222222,286.233333333333,FALSE,NA,NA,FALSE,286.233333333333
"IND","Palm Oil",2010,0,0,0,"R_ASP",794.05,700.997222222222,794.05,FALSE,NA,NA,FALSE,794.05
"IDN","Palm Oil",2010,0,0,0,"R_ASP",794.05,700.997222222222,794.05,FALSE,NA,NA,FALSE,794.05
"IRL","Palm Oil",2010,0,0,0,"R_OEU",286.233333333333,700.997222222222,286.233333333333,FALSE,NA,NA,FALSE,286.233333333333
"MEX","Palm Oil",2010,0,0,0,"R_CSA",605.183333333333,700.997222222222,605.183333333333,FALSE,NA,NA,FALSE,605.183333333333
"NPL","Palm Oil",2010,0,0,0,"R_ASP",794.05,700.997222222222,794.05,FALSE,NA,NA,FALSE,794.05
"NOR","Palm Oil",2010,0,0,0,"R_OEU",286.233333333333,700.997222222222,286.233333333333,FALSE,NA,NA,FALSE,286.233333333333
"RWA","Palm Oil",2010,0,0,0,"R_SSA",1121.28333333333,700.997222222222,1121.28333333333,FALSE,NA,NA,FALSE,1121.28333333333
"SWE","Palm Oil",2010,0,0,0,"R_OEU",286.233333333333,700.997222222222,286.233333333333,FALSE,NA,NA,FALSE,286.233333333333
"R_NEU","Palm Oil",2010,0,0,0,"R_NEU",NA,700.997222222222,700.997222222222,FALSE,NA,NA,FALSE,700.997222222222
"TUR","Palm Oil",2010,0,0,0,"R_NEU",NA,700.997222222222,700.997222222222,FALSE,NA,NA,FALSE,700.997222222222
"GBR","Palm Oil",2010,0,0,0,"R_OEU",286.233333333333,700.997222222222,286.233333333333,FALSE,NA,NA,FALSE,286.233333333333
"USA","Palm Oil",2010,0,0,0,"R_WRL",NA,700.997222222222,700.997222222222,FALSE,NA,NA,FALSE,700.997222222222
"RUS","Palm Oil",2010,0,0,0,"R_NEU",NA,700.997222222222,700.997222222222,FALSE,NA,NA,FALSE,700.997222222222
"ETH","Palm Oil",2010,0,0,0,"R_SSA",1121.28333333333,700.997222222222,1121.28333333333,FALSE,NA,NA,FALSE,1121.28333333333
"R_NEU","Corn",2015,171.8,207.566666666667,207.566666666667,"R_NEU",197.011111111111,238.244475772679,207.566666666667,TRUE,187.416666666667,0.107514450867052,FALSE,207.566666666667
"R_NEU","Soyabean",2015,338.5,370.333333333333,370.333333333333,"R_NEU",390.822222222222,445.172222222222,370.333333333333,TRUE,359.283333333333,0.0307556710117362,FALSE,370.333333333333
"R_NEU","Wheat",2015,191,197.033333333333,197.033333333333,"R_NEU",214.9,243.130786770076,197.033333333333,TRUE,177.566666666667,0.109630185845692,FALSE,197.033333333333
"R_NMC","Wheat",2015,317.9,329.65,329.65,"R_NMC",329.65,243.130786770076,329.65,TRUE,270.741666666667,0.217581335221152,FALSE,329.65
"AUS","Corn",2015,247.9,252.633333333333,252.633333333333,"R_ASP",294.956666666667,238.244475772679,252.633333333333,TRUE,157.683333333333,0.602156220272699,FALSE,252.633333333333
"AUS","Rice",2015,296.7,304.9,304.9,"R_ASP",263.865556401151,352.297054245285,304.9,TRUE,295.566276400367,0.0315791223319046,FALSE,304.9
"AUS","Wheat",2015,225.4,238.7,238.7,"R_ASP",222.555555555556,243.130786770076,238.7,TRUE,191.083333333333,0.249193196685565,FALSE,238.7
"R_OEU","Corn",2015,157.15,164.483333333333,164.483333333333,"R_OEU",199.338888888889,238.244475772679,164.483333333333,TRUE,159.033333333333,0.0342695451687277,FALSE,164.483333333333
"R_OEU","Soyabean",2015,357.05,393.233333333333,393.233333333333,"R_OEU",257.8,445.172222222222,393.233333333333,TRUE,343.8,0.143785146402948,FALSE,393.233333333333
"R_OEU","Wheat",2015,173,180.4,180.4,"R_OEU",209.537037037037,243.130786770076,180.4,TRUE,169.391666666667,0.0649874551089683,FALSE,180.4
"R_NMC","Corn",2015,323.4,312.018563012288,312.018563012288,"R_NMC",312.018563012288,238.244475772679,312.018563012288,TRUE,231.991666666667,0.344955909388792,FALSE,312.018563012288
"R_NMC","Rice",2015,456.016889153755,414.010991220266,414.010991220266,"R_NMC",414.010991220266,352.297054245285,414.010991220266,TRUE,437.908333333333,0.0545715627998272,FALSE,414.010991220266
"R_ASP","Corn",2015,281.7,275.416666666667,275.416666666667,"R_ASP",294.956666666667,238.244475772679,275.416666666667,TRUE,232.541666666667,0.184375559935496,FALSE,275.416666666667
"R_ASP","Rice",2015,333.7,355.8,355.8,"R_ASP",263.865556401151,352.297054245285,355.8,TRUE,242.741666666667,0.46575577603076,FALSE,355.8
"R_ASP","Soyabean",2015,520.4,506.116666666667,506.116666666667,"R_ASP",592.916666666667,445.172222222222,506.116666666667,TRUE,502.391666666667,0.00741453381325984,FALSE,506.116666666667
"R_ASP","Wheat",2015,279.1,271.433333333333,271.433333333333,"R_ASP",222.555555555556,243.130786770076,271.433333333333,TRUE,248.433333333333,0.0925801690594393,FALSE,271.433333333333
"R_CSA","Cocoa",2015,2236.45349296556,2202.81375935917,2202.81375935917,"R_CSA",2039.70353145472,1802.25873500935,2202.81375935917,TRUE,1573.20833333333,0.400204736197791,FALSE,2202.81375935917
"R_CSA","Coffee",2015,2726.55,2593.26666666667,2593.26666666667,"R_CSA",1918.57156571151,2907.16163001423,2593.26666666667,TRUE,1820.375,0.424578269129529,FALSE,2593.26666666667
"R_CSA","Corn",2015,419.65,386.183333333333,386.183333333333,"R_CSA",227.95,238.244475772679,386.183333333333,TRUE,288.708333333333,0.337624476836484,FALSE,386.183333333333
"R_CSA","Rice",2015,343.9,359.800476190476,359.800476190476,"R_CSA",279.566761904762,352.297054245285,359.800476190476,TRUE,287.466666666667,0.251625033130135,FALSE,359.800476190476
"R_CSA","Soyabean",2015,466.45,508.316666666667,508.316666666667,"R_CSA",361.71,445.172222222222,508.316666666667,TRUE,344.608333333333,0.475056223248616,FALSE,508.316666666667
"R_CSA","Wheat",2015,285.8,277.426149665552,277.426149665552,"R_CSA",205.66522993311,243.130786770076,277.426149665552,TRUE,225.133333333333,0.232274872663097,FALSE,277.426149665552
"BRA","Cocoa",2015,1430.2,1812.06703312638,1812.06703312638,"R_CSA",2039.70353145472,1802.25873500935,1812.06703312638,TRUE,976.889947157349,0.854934671402146,FALSE,1812.06703312638
"BRA","Coffee",2015,2122.8,2173.63026321412,2173.63026321412,"R_CSA",1918.57156571151,2907.16163001423,2173.63026321412,TRUE,1193.21666666667,0.821655969059085,FALSE,2173.63026321412
"BRA","Corn",2015,138.3,169.233333333333,169.233333333333,"R_CSA",227.95,238.244475772679,169.233333333333,TRUE,140.216666666667,0.206941637941281,FALSE,169.233333333333
"BRA","Rice",2015,241.2,281.8,281.8,"R_CSA",279.566761904762,352.297054245285,281.8,TRUE,225.183333333333,0.251424765006291,FALSE,281.8
"BRA","Soyabean",2015,317.1,363.1,363.1,"R_CSA",361.71,445.172222222222,363.1,TRUE,272.483333333333,0.332558566273166,FALSE,363.1
"R_OEU","Rice",2015,339.9,356.633333333333,356.633333333333,"R_OEU",312.866666666667,352.297054245285,356.633333333333,TRUE,317.766666666667,0.122311968949963,FALSE,356.633333333333
