"FABLE_Exporter","FABLE_Importer","dist_adj","Year","FABLE_Item","Q_ij","net_trade_ij","ln_dist","ln_quantity_kt","cost_per_tonne_km","transport_cost_usd_t"
"R_SSA","IDN",10487.8768947368,2020,"Corn",0.337996,-0.000323600000000035,9.25797528764933,-1.08472121788867,0.0168337516041514,176.550314500919
"R_SSA","IDN",10487.8768947368,2020,"Palm_oil",0,-1971.2876981,9.25797528764933,0,0,0
"R_SSA","IDN",10487.8768947368,2020,"Rice",0,-1.321697,9.25797528764933,0,0,0
"R_SSA","IDN",10487.8768947368,2005,"Palm_oil",0,-535.3750783,9.25797528764933,0,0,0
"R_SSA","IDN",10487.8768947368,2015,"Corn",0.14717,-3.7088287,9.25797528764933,-1.91616689780612,0.0169742985808462,178.024353890421
"R_SSA","IDN",10487.8768947368,2015,"Palm_oil",1.661261,-1873.9657585,9.25797528764933,0.507576952543336,0.0165678308296261,173.761370153944
"R_SSA","IDN",10487.8768947368,2015,"Rice",1.3264935,-1.3546316,9.25797528764933,0.282538994470572,0.0166051567207815,174.152839505369
"R_SSA","IDN",10487.8768947368,2005,"Corn",47.6922626,47.4479576,9.25797528764933,3.86476917509328,0.0160208498756262,168.024701244627
"R_SSA","IDN",10487.8768947368,2005,"Rice",0,-137.8777063,9.25797528764933,0,0,0
"R_SSA","IDN",10487.8768947368,2005,"Soyabean",0.2925743,0.2365814,9.25797528764933,-1.22903662747309,0.0168580628399377,176.805287749005
"R_SSA","IDN",10487.8768947368,2005,"Coffee",0,-4.1120122,9.25797528764933,0,0,0
"R_SSA","IDN",10487.8768947368,2005,"Cocoa",18.3607038,14.6602088,9.25797528764933,2.91021271779097,0.0161745101529144,169.636271316438
"R_SSA","IDN",10487.8768947368,2020,"Wheat",0,-1.72761,9.25797528764933,0,0,0
"R_SSA","IND",7520.98357894737,2005,"Corn",0,-5.52369955,8.92545220346374,0,0,0
"R_SSA","IND",7520.98357894737,2015,"Coffee",8.1882339,-28.2234663,8.92545220346374,2.10269823358547,0.0149551496493167,112.477434933212
"R_SSA","IND",7520.98357894737,2015,"Cocoa",7.1265479,3.1890138,8.92545220346374,1.96382695168235,0.0149759324847002,112.633742296855
"R_SSA","IND",7520.98357894737,2005,"Wheat",0.0120979,-20.9312523,8.92545220346374,-4.41472339516064,0.0159623035603257,120.052222959382
"R_SSA","IND",7520.98357894737,2005,"Palm_oil",0,-8.8216851,8.92545220346374,0,0,0
"R_SSA","IND",7520.98357894737,2010,"Wheat",0.0022848,-16.8050931,8.92545220346374,-6.08147678581901,0.0162305853834917,122.069966145944
"R_SSA","IND",7520.98357894737,2005,"Soyabean",0.1608305,0.1608305,8.92545220346374,-1.82740426360669,0.0155546048037272,116.985927305848
"R_SSA","IND",7520.98357894737,2020,"Corn",11.0084961,-7.9779179,8.92545220346374,2.39866734739933,0.014910952462704,112.145028618461
"R_SSA","IND",7520.98357894737,2020,"Palm_oil",0.0068167,-13.0167351,8.92545220346374,-4.98837979519784,0.0160541354843126,120.742889351711
"R_SSA","IND",7520.98357894737,2005,"Rice",0,-1936.1949896,8.92545220346374,0,0,0
"R_SSA","IND",7520.98357894737,2020,"Soyabean",135.577775,135.5345429,8.92545220346374,4.90954546089309,0.01454121783844,109.364260580803
"R_SSA","IND",7520.98357894737,2020,"Wheat",0.0246914,-73.2259972,8.92545220346374,-3.70130027411394,0.0158488300504928,119.198790555284
"R_SSA","IND",7520.98357894737,2005,"Coffee",1.0289748,-8.1097893,8.92545220346374,0.0285629667561141,0.0152685789194589,114.834731327112
"R_SSA","IND",7520.98357894737,2020,"Rice",1.0487015,-6496.38216865,8.92545220346374,0.047552732199528,0.0152656797274192,114.812926551389
"R_SSA","IND",7520.98357894737,2015,"Palm_oil",0,-7.295209,8.92545220346374,0,0,0
"R_SSA","IND",7520.98357894737,2015,"Rice",13.1845846,-5182.4465971,8.92545220346374,2.57904831381027,0.0148840801860731,111.942922667192
"R_SSA","IND",7520.98357894737,2015,"Soyabean",0.62153,0.0929424999999999,8.92545220346374,-0.475571098882588,0.0153457473799424,115.415114051221
"R_SSA","IND",7520.98357894737,2015,"Corn",0.598785,-54.1409692,8.92545220346374,-0.512852676850623,0.0153514695833142,115.458150648816
"R_SSA","IND",7520.98357894737,2020,"Cocoa",27.5962099,20.9857026,8.92545220346374,3.31767844082974,0.0147745469065773,111.119124670755
"R_SSA","IND",7520.98357894737,2020,"Coffee",31.7443122,-12.60667455,8.92545220346374,3.45771356598354,0.0147538718308884,110.963627766006
"R_SSA","IND",7520.98357894737,2000,"Palm_oil",0.179958,-2.3155615,8.92545220346374,-1.71503178865172,0.0155371355265077,116.854541158744
"R_SSA","IND",7520.98357894737,2000,"Rice",0.0495925,-214.5955383,8.92545220346374,-3.00391566636201,0.0157386872550577,118.370408399477
"R_SSA","IND",7520.98357894737,2000,"Soyabean",0.475,0.312216,8.92545220346374,-0.744440474947496,0.0153870629126935,115.725847494598
"R_SSA","IND",7520.98357894737,2000,"Wheat",0,-3.1822793,8.92545220346374,0,0,0
"R_SSA","IND",7520.98357894737,2005,"Cocoa",3.3798572,2.8200505,8.92545220346374,1.21783346008172,0.0150880697145188,113.477124560909
"R_SSA","IND",7520.98357894737,2010,"Corn",0,-181.2336886,8.92545220346374,0,0,0
"R_SSA","IND",7520.98357894737,2015,"Wheat",0.758955,-131.3653101,8.92545220346374,-0.275812791881691,0.0153151235717633,115.184792892781
"R_SSA","IND",7520.98357894737,2010,"Cocoa",1.818104,-2.9387139,8.92545220346374,0.597794199839674,0.0151819123001514,114.182913106458
"R_SSA","IND",7520.98357894737,2010,"Coffee",5.3375167,0.9589638,8.92545220346374,1.67476050735547,0.0150192855095743,112.959799685031
"R_SSA","IND",7520.98357894737,2000,"Coffee",0,-0.8250805,8.92545220346374,0,0,0
"R_SSA","IND",7520.98357894737,2010,"Palm_oil",5.989737,4.174214,8.92545220346374,1.79004750465259,0.0150019802035954,112.829646762935
"R_SSA","IND",7520.98357894737,2010,"Rice",0,-75.0935773,8.92545220346374,0,0,0
"R_SSA","IND",7520.98357894737,2010,"Soyabean",0,-0.1365883,8.92545220346374,0,0,0
"R_SSA","IND",7520.98357894737,2000,"Corn",0.0005488,-0.9445238,8.92545220346374,-7.5077764815526,0.0164637409695227,123.823525479824
"R_SSA","IND",7520.98357894737,2000,"Cocoa",1.8437847,1.7234141,8.92545220346374,0.611820361267876,0.0151797830099567,114.166898749868
"R_SSA","IRL",6582.01986842105,2000,"Cocoa",4.18066535,3.95597155,8.7920969480981,1.43047040851087,0.014542939389745,95.7219160085444
"R_SSA","IRL",6582.01986842105,2010,"Soyabean",0.027524,0.027524,8.7920969480981,-3.5926969276419,0.0152921142019376,100.652999507317
"R_SSA","IRL",6582.01986842105,2015,"Cocoa",0.0724891,0.0523727,8.7920969480981,-2.62431907325201,0.0151447434590034,99.6830023492999
"R_SSA","IRL",6582.01986842105,2010,"Rice",0,-0.0019701,8.7920969480981,0,0,0
"R_SSA","IRL",6582.01986842105,2010,"Coffee",0.3148883,0.310149,8.7920969480981,-1.15553730621768,0.0149239258624821,98.2295765416999
"R_SSA","IRL",6582.01986842105,2010,"Wheat",0.4219234,-65.43016195,8.7920969480981,-0.862931498009933,0.014880321414281,97.9425711972887
"R_SSA","IRL",6582.01986842105,2020,"Corn",0,-0.0099375,8.7920969480981,0,0,0
"R_SSA","IRL",6582.01986842105,2020,"Wheat",0.17657245,-136.59150125,8.7920969480981,-1.7340240052469,0.0150105089830312,98.7994683614244
"R_SSA","IRL",6582.01986842105,2015,"Coffee",0.4506818,0.4462306,8.7920969480981,-0.796993731729472,0.0148705128968391,97.8780113406064
"R_SSA","IRL",6582.01986842105,2000,"Coffee",0.2835052,0.2835052,8.7920969480981,-1.26052481383087,0.0149396023480189,98.3327594809705
"R_SSA","IRL",6582.01986842105,2000,"Corn",0.0110038,0.0110038,8.7920969480981,-4.509514611294,0.0154329596706593,101.58004718082
